Vin, Vout, Iin, Iout
+4.00529040E+01, +5.03612700E+00, +1.38750000E-04, +0.00000000E+00
+4.00527740E+01, +4.99991650E+00, +1.53140000E-04, +1.30900000E-05
+4.00527740E+01, +5.01276580E+00, +1.87180000E-04, +2.59170000E-04
+4.00538180E+01, +5.00959260E+00, +3.48170000E-04, +1.27751000E-03
+4.00534260E+01, +5.00955350E+00, +4.92160000E-04, +2.28800000E-03
+4.00549930E+01, +5.00929230E+00, +6.51840000E-04, +3.28017000E-03
+4.00544710E+01, +5.00874380E+00, +8.10220000E-04, +4.31553000E-03
+4.00556450E+01, +5.00823460E+00, +9.76460000E-04, +5.34827000E-03
+4.00553840E+01, +5.00769920E+00, +1.13222000E-03, +6.36661000E-03
+4.00547320E+01, +5.00703320E+00, +1.28013000E-03, +7.36139000E-03
+4.00544710E+01, +5.00696790E+00, +1.43851000E-03, +8.38759000E-03
+4.00525130E+01, +5.00657620E+00, +1.60212000E-03, +9.41902000E-03
+4.00519910E+01, +5.00622360E+00, +1.75658000E-03, +1.04321300E-02
+4.00536870E+01, +5.00583190E+00, +1.92019000E-03, +1.14596400E-02
+4.00536870E+01, +5.00529650E+00, +2.07988000E-03, +1.24531100E-02
+4.00543400E+01, +5.00502230E+00, +2.24088000E-03, +1.34950200E-02
+4.00534260E+01, +5.00457830E+00, +2.39795000E-03, +1.45120500E-02
+4.00525130E+01, +5.00434330E+00, +2.55502000E-03, +1.55421700E-02
+4.00523820E+01, +5.00395150E+00, +2.70947000E-03, +1.65277900E-02
+4.00546010E+01, +5.00383400E+00, +2.86916000E-03, +1.75487600E-02
+4.00530350E+01, +5.00341610E+00, +3.03016000E-03, +1.85985100E-02
+4.00531650E+01, +5.00328550E+00, +3.19247000E-03, +1.96260200E-02
+4.00539480E+01, +5.00269790E+00, +3.35739000E-03, +2.06482900E-02
+4.00510770E+01, +5.00264570E+00, +3.50661000E-03, +2.16444000E-02
+4.00526430E+01, +5.00216250E+00, +3.67153000E-03, +2.26810700E-02
+4.00513380E+01, +5.00212340E+00, +3.82991000E-03, +2.37046500E-02
+4.00517300E+01, +5.00173160E+00, +3.98699000E-03, +2.47400100E-02
+4.00518600E+01, +5.00148350E+00, +4.14929000E-03, +2.57361000E-02
+4.00523820E+01, +5.00105260E+00, +4.30636000E-03, +2.67557500E-02
+4.00525130E+01, +5.00086980E+00, +4.45951000E-03, +2.77898000E-02
+4.00531650E+01, +5.00042580E+00, +4.62050000E-03, +2.88238500E-02
+4.00527740E+01, +4.99990350E+00, +4.77234000E-03, +2.97976900E-02
+4.00521210E+01, +4.99994270E+00, +4.93203000E-03, +3.08265100E-02
+4.00529040E+01, +4.99960320E+00, +5.08779000E-03, +3.18605600E-02
+4.00509460E+01, +4.99912000E+00, +5.25010000E-03, +3.28880700E-02
+4.00518600E+01, +4.99897640E+00, +5.40979000E-03, +3.39142600E-02
+4.00527740E+01, +4.99888500E+00, +5.56817000E-03, +3.49116600E-02
+4.00510770E+01, +4.99848020E+00, +5.73571000E-03, +3.59273900E-02
+4.00508160E+01, +4.99812760E+00, +5.88493000E-03, +3.69758400E-02
+4.00521210E+01, +4.99811450E+00, +6.04723000E-03, +3.80085800E-02
+4.00523820E+01, +4.99810150E+00, +6.20561000E-03, +3.89902700E-02
+4.00514680E+01, +4.99777500E+00, +6.36007000E-03, +4.00282500E-02
+4.00526430E+01, +4.99757910E+00, +6.52368000E-03, +4.10518300E-02
+4.00519910E+01, +4.99773580E+00, +6.69122000E-03, +4.20793600E-02
