Vin, Vout, TC, Iin, Iout
+4.00433760E+01, +4.98193550E+00, +2.28690000E+01, +1.43980000E-04, -1.31000000E-06
+4.00450730E+01, +4.99723960E+00, +2.28710000E+01, +1.50530000E-04, +2.62000000E-06
+4.00424620E+01, +5.00685040E+00, +2.28640000E+01, +1.96340000E-04, +4.38490000E-04
+4.00419400E+01, +5.00530960E+00, +2.29360000E+01, +3.71730000E-04, +1.47778000E-03
+4.00433760E+01, +5.00481330E+00, +2.29740000E+01, +5.24880000E-04, +2.50005000E-03
+4.00433760E+01, +5.00456520E+00, +2.30260000E+01, +6.79330000E-04, +3.49745000E-03
+4.00435070E+01, +5.00418660E+00, +2.31000000E+01, +8.40330000E-04, +4.52757000E-03
+4.00438980E+01, +5.00345530E+00, +2.31550000E+01, +9.97400000E-04, +5.56162000E-03
+4.00424620E+01, +5.00331170E+00, +2.32390000E+01, +1.16363000E-03, +6.61923000E-03
+4.00438980E+01, +5.00269790E+00, +2.32810000E+01, +1.32725000E-03, +7.60224000E-03
+4.00420710E+01, +5.00237150E+00, +2.33590000E+01, +1.48039000E-03, +8.64414000E-03
+4.00437680E+01, +5.00195360E+00, +2.34240000E+01, +1.63747000E-03, +9.67557000E-03
+4.00428540E+01, +5.00154880E+00, +2.35080000E+01, +1.79715000E-03, +1.06899900E-02
+4.00441590E+01, +5.00136600E+00, +2.35720000E+01, +1.96339000E-03, +1.17240400E-02
+4.00432460E+01, +5.00110480E+00, +2.36560000E+01, +2.11653000E-03, +1.27227500E-02
+4.00416790E+01, +5.00070000E+00, +2.37180000E+01, +2.28276000E-03, +1.37633400E-02
+4.00412880E+01, +5.00013850E+00, +2.38110000E+01, +2.43460000E-03, +1.48026300E-02
+4.00420710E+01, +5.00000800E+00, +2.38920000E+01, +2.59822000E-03, +1.58196700E-02
+4.00420710E+01, +4.99945950E+00, +2.39760000E+01, +2.74612000E-03, +1.68275400E-02
+4.00422010E+01, +4.99960320E+00, +2.40440000E+01, +2.91628000E-03, +1.78642100E-02
+4.00423320E+01, +4.99914610E+00, +2.41540000E+01, +3.07728000E-03, +1.89048000E-02
+4.00415490E+01, +4.99875440E+00, +2.42380000E+01, +3.24352000E-03, +1.99467100E-02
+4.00419400E+01, +4.99849320E+00, +2.43060000E+01, +3.40059000E-03, +2.09663600E-02
+4.00435070E+01, +4.99819290E+00, +2.43930000E+01, +3.55766000E-03, +2.19729400E-02
+4.00415490E+01, +4.99782720E+00, +2.44870000E+01, +3.71735000E-03, +2.30030700E-02
+4.00429840E+01, +4.99777500E+00, +2.45670000E+01, +3.87573000E-03, +2.40528200E-02
+4.00427230E+01, +4.99731800E+00, +2.46510000E+01, +4.03803000E-03, +2.50829500E-02
+4.00414180E+01, +4.99709600E+00, +2.47550000E+01, +4.19641000E-03, +2.60764200E-02
+4.00407660E+01, +4.99658670E+00, +2.48390000E+01, +4.35610000E-03, +2.70973800E-02
+4.00412880E+01, +4.99640390E+00, +2.49580000E+01, +4.51972000E-03, +2.81432100E-02
+4.00408960E+01, +4.99628640E+00, +2.50460000E+01, +4.67155000E-03, +2.91811900E-02
+4.00411570E+01, +4.99589460E+00, +2.51430000E+01, +4.82993000E-03, +3.01746600E-02
+4.00410270E+01, +4.99565960E+00, +2.52560000E+01, +4.99093000E-03, +3.11956300E-02
