Vin, Vout, TC, Iin, Iout
+4.00278440E+01, +4.99620800E+00, +2.21640000E+01, +1.53140000E-04, +5.24000000E-06
+4.00335870E+01, +5.00602780E+00, +2.29490000E+01, +1.46207000E-03, +8.53419000E-03
+4.00381550E+01, +5.00258040E+00, +2.40050000E+01, +3.05634000E-03, +1.88000900E-02
+4.00394600E+01, +4.99983820E+00, +2.49400000E+01, +4.66239000E-03, +2.90804000E-02
+4.00420710E+01, +4.99752690E+00, +2.61480000E+01, +6.25143000E-03, +3.93214300E-02
+4.00425930E+01, +4.99640390E+00, +2.73110000E+01, +7.86533000E-03, +4.95978200E-02
+4.00427230E+01, +4.99862380E+00, +2.86880000E+01, +9.47662000E-03, +5.98807400E-02
+4.00435070E+01, +5.00042580E+00, +3.01750000E+01, +1.11153900E-02, +7.01584400E-02
+4.00433760E+01, +4.99803620E+00, +3.12710000E+01, +1.27240600E-02, +8.04007800E-02
+4.00452030E+01, +4.99402730E+00, +3.23600000E+01, +1.43170200E-02, +9.06798000E-02
+4.00433760E+01, +4.99124590E+00, +3.36260000E+01, +1.59283100E-02, +1.00967950E-01
+4.00440290E+01, +4.98756360E+00, +3.48290000E+01, +1.75265000E-02, +1.11258730E-01
+4.00425930E+01, +4.98822950E+00, +3.65110000E+01, +1.91377900E-02, +1.21494540E-01
+4.00419400E+01, +4.98906520E+00, +3.78590000E+01, +2.07765600E-02, +1.31787950E-01
+4.00418100E+01, +4.98761580E+00, +3.91240000E+01, +2.23865600E-02, +1.42061720E-01
+4.00414180E+01, +4.98483440E+00, +4.05040000E+01, +2.39834500E-02, +1.52317160E-01
+4.00416790E+01, +4.98436430E+00, +4.18700000E+01, +2.55934300E-02, +1.62588310E-01
+4.00402430E+01, +4.98299320E+00, +4.33580000E+01, +2.72243500E-02, +1.72864690E-01
+4.00398520E+01, +4.98301930E+00, +4.50350000E+01, +2.88670500E-02, +1.83143710E-01
+4.00385470E+01, +4.98210530E+00, +4.66640000E+01, +3.05005900E-02, +1.93416160E-01
+4.00377640E+01, +4.98082560E+00, +4.79800000E+01, +3.21223500E-02, +2.03687320E-01
+4.00384160E+01, +4.97919330E+00, +4.97020000E+01, +3.37427900E-02, +2.13961080E-01
+4.00368500E+01, +4.97850120E+00, +5.11530000E+01, +3.53750200E-02, +2.24206080E-01
+4.00363280E+01, +4.97906270E+00, +5.25390000E+01, +3.69954700E-02, +2.34490310E-01
+4.00361970E+01, +4.97885380E+00, +5.43150000E+01, +3.86381700E-02, +2.44790250E-01
+4.00352840E+01, +4.97863180E+00, +5.58750000E+01, +4.02821800E-02, +2.55065340E-01
+4.00342390E+01, +4.97778300E+00, +5.75640000E+01, +4.19419000E-02, +2.65326010E-01
+4.00337170E+01, +4.97590260E+00, +5.96180000E+01, +4.35820000E-02, +2.75593250E-01
+4.00331950E+01, +4.97502770E+00, +6.10860000E+01, +4.52220900E-02, +2.85882730E-01
+4.00326730E+01, +4.97440100E+00, +6.31450000E+01, +4.68752600E-02, +2.96155200E-01
+4.00328040E+01, +4.97583740E+00, +6.51760000E+01, +4.85703100E-02, +3.06423740E-01
+4.00334560E+01, +4.98868660E+00, +6.72790000E+01, +5.04394600E-02, +3.16701430E-01
+4.00317590E+01, +4.95971060E+00, +6.86180000E+01, +5.17143500E-02, +3.26922850E-01
+4.00307150E+01, +4.91468590E+00, +6.92970000E+01, +5.28348000E-02, +3.37229340E-01
+4.00294100E+01, +4.91467290E+00, +6.97090000E+01, +5.43138900E-02, +3.47682440E-01
+4.00308460E+01, +4.91548250E+00, +7.10340000E+01, +5.58414000E-02, +3.58156480E-01
+4.00270610E+01, +4.91556080E+00, +7.15820000E+01, +5.73584500E-02, +3.68612200E-01
+4.00295410E+01, +4.91561300E+00, +7.22970000E+01, +5.88532400E-02, +3.79061360E-01
+4.00266690E+01, +4.91586110E+00, +7.29930000E+01, +6.03833700E-02, +3.89600860E-01
+4.00283660E+01, +4.91638350E+00, +7.37160000E+01, +6.19161200E-02, +4.00141650E-01
+4.00270610E+01, +4.91674910E+00, +7.45780000E+01, +6.34462800E-02, +4.10728250E-01
+4.00282350E+01, +4.91711470E+00, +7.55540000E+01, +6.49803400E-02, +4.21305710E-01
+4.00252330E+01, +4.91723220E+00, +7.60950000E+01, +6.65261800E-02, +4.32008810E-01
+4.00265390E+01, +4.91780680E+00, +7.68830000E+01, +6.80798700E-02, +4.42810080E-01
+4.00257550E+01, +4.91825080E+00, +7.79390000E+01, +6.96558200E-02, +4.53734390E-01
+4.00236670E+01, +4.91838140E+00, +7.83670000E+01, +7.12212900E-02, +4.64876000E-01
+4.00232750E+01, +4.91936070E+00, +7.95090000E+01, +7.28365000E-02, +4.76323870E-01
