Vin, Vout, TC, Iin, Iout
+4.50575770E+01, +5.00878300E+00, +2.48930000E+01, +1.33510000E-04, +2.88000000E-05
+4.50608400E+01, +5.00809090E+00, +2.47540000E+01, +1.37440000E-04, +5.24000000E-06
+4.50383900E+01, +4.91227020E+00, +6.44580000E+01, +6.96139300E-02, +5.00904220E-01
+4.50366930E+01, +4.91612230E+00, +7.15920000E+01, +6.96872300E-02, +5.00917310E-01
+4.50379980E+01, +4.91861640E+00, +7.58350000E+01, +6.97369700E-02, +5.00910770E-01
+4.50361710E+01, +4.92019640E+00, +7.88170000E+01, +6.97618400E-02, +5.00902910E-01
+4.50372150E+01, +4.92167200E+00, +8.10390000E+01, +6.97814700E-02, +5.00897680E-01
+4.50383900E+01, +4.92270360E+00, +8.27750000E+01, +6.97945600E-02, +5.00892440E-01
+4.50365630E+01, +4.92370910E+00, +8.42630000E+01, +6.98272800E-02, +5.00876740E-01
+4.50385210E+01, +4.92459700E+00, +8.54310000E+01, +6.98429900E-02, +5.00891130E-01
+4.50352570E+01, +4.92524990E+00, +8.65410000E+01, +6.98534600E-02, +5.00889820E-01
+4.50393040E+01, +4.92591590E+00, +8.73800000E+01, +6.98587000E-02, +5.00891130E-01
+4.50368240E+01, +4.92658190E+00, +8.81340000E+01, +6.98783300E-02, +5.00893750E-01
+4.50377370E+01, +4.92693440E+00, +8.87650000E+01, +6.98809500E-02, +5.00910770E-01
+4.50386510E+01, +4.92748290E+00, +8.92350000E+01, +6.98953500E-02, +5.00895060E-01
+4.50377370E+01, +4.92782240E+00, +8.96990000E+01, +6.99018900E-02, +5.00902910E-01
+4.50379980E+01, +4.92795300E+00, +9.02740000E+01, +6.99032000E-02, +5.00902910E-01
+4.50373460E+01, +4.92839710E+00, +9.08100000E+01, +6.99189100E-02, +5.00893750E-01
+4.50385210E+01, +4.92863220E+00, +9.12550000E+01, +6.99123600E-02, +5.00900300E-01
+4.50366930E+01, +4.92880200E+00, +9.16560000E+01, +6.99189100E-02, +5.00905530E-01
+4.50376070E+01, +4.92928510E+00, +9.19270000E+01, +6.99293800E-02, +5.00895060E-01
+4.50395650E+01, +4.92929820E+00, +9.22170000E+01, +6.99280700E-02, +5.00900300E-01
+4.50370850E+01, +4.92962460E+00, +9.24600000E+01, +6.99450900E-02, +5.00906840E-01
+4.50387820E+01, +4.92953320E+00, +9.27920000E+01, +6.99306900E-02, +5.00901610E-01
+4.50373460E+01, +4.93000330E+00, +9.30660000E+01, +6.99477100E-02, +5.00904220E-01
+4.50390430E+01, +4.93023830E+00, +9.32870000E+01, +6.99568700E-02, +5.00909460E-01
+4.50366930E+01, +4.93059090E+00, +9.34980000E+01, +6.99581800E-02, +5.00898990E-01
+4.50383900E+01, +4.93098270E+00, +9.36010000E+01, +6.99621000E-02, +5.00908150E-01
+4.50343440E+01, +4.93102180E+00, +9.37430000E+01, +6.99712700E-02, +5.00910770E-01
+4.50374760E+01, +4.93077370E+00, +9.38000000E+01, +6.99581800E-02, +5.00912080E-01
+4.50378680E+01, +4.93093040E+00, +9.40580000E+01, +6.99712700E-02, +5.00922550E-01
+4.50396950E+01, +4.93116550E+00, +9.41820000E+01, +6.99699600E-02, +5.00921240E-01
+4.50378680E+01, +4.93093040E+00, +9.43140000E+01, +6.99738800E-02, +5.00916000E-01
+4.50402170E+01, +4.93125690E+00, +9.44230000E+01, +6.99725800E-02, +5.00914690E-01
+4.50406090E+01, +4.93141360E+00, +9.45100000E+01, +6.99804300E-02, +5.00917310E-01
+4.50382600E+01, +4.93117850E+00, +9.45220000E+01, +6.99791200E-02, +5.00918620E-01
+4.50393040E+01, +4.93130910E+00, +9.45980000E+01, +6.99725800E-02, +5.00912080E-01
